city_do_nm,date,dscamt
서울특별시,2020-12-03,460059722
서울특별시,2020-12-04,460269196
서울특별시,2020-12-05,505383706
서울특별시,2020-12-06,620383064
서울특별시,2020-12-07,516051277
서울특별시,2020-12-08,466046160
서울특별시,2020-12-09,466546095
서울특별시,2020-12-10,463204801
서울특별시,2020-12-11,448217490
서울특별시,2020-12-12,499110336
서울특별시,2020-12-13,564601227
서울특별시,2020-12-14,487529606
서울특별시,2020-12-15,433818482
서울특별시,2020-12-16,427691523
서울특별시,2020-12-17,441313465
서울특별시,2020-12-18,425147490
서울특별시,2020-12-19,445972141
서울특별시,2020-12-20,559336274
서울특별시,2020-12-21,494722444
서울특별시,2020-12-22,443898435
서울특별시,2020-12-23,437291681
서울특별시,2020-12-24,444825486
서울특별시,2020-12-25,438462362
서울특별시,2020-12-26,513189510
서울특별시,2020-12-27,570187891
서울특별시,2020-12-28,514003860
서울특별시,2020-12-29,447506723
서울특별시,2020-12-30,388704500
서울특별시,2020-12-31,475842133
서울특별시,2021-01-01,422074331
서울특별시,2021-01-02,493889118
서울특별시,2021-01-03,549559860
서울특별시,2021-01-04,487897716
서울특별시,2021-01-05,418365430
서울특별시,2021-01-06,410934630
서울특별시,2021-01-07,331486081
서울특별시,2021-01-08,350371982
서울특별시,2021-01-09,409829368
서울특별시,2021-01-10,539686469
서울특별시,2021-01-11,462702939
서울특별시,2021-01-12,403521528
서울특별시,2021-01-13,435017518
서울특별시,2021-01-14,402737689
서울특별시,2021-01-15,411140050
서울특별시,2021-01-16,420801349
서울특별시,2021-01-17,537313166
서울특별시,2021-01-18,438814730
서울특별시,2021-01-19,403995119
서울특별시,2021-01-20,411242370
서울특별시,2021-01-21,369165370
서울특별시,2021-01-22,426398394
서울특별시,2021-01-23,442364640
서울특별시,2021-01-24,546397258
서울특별시,2021-01-25,489566243
서울특별시,2021-01-26,401912145
서울특별시,2021-01-27,430796939
서울특별시,2021-01-28,373788830
서울특별시,2021-01-29,366602525
서울특별시,2021-01-30,427098565
서울특별시,2021-01-31,545671098
서울특별시,2021-02-01,446423291
서울특별시,2021-02-02,396350589
서울특별시,2021-02-03,411345651
서울특별시,2021-02-04,384880200
서울특별시,2021-02-05,412746152
서울특별시,2021-02-06,444223795
서울특별시,2021-02-07,561314091
서울특별시,2021-02-08,483989431
서울특별시,2021-02-09,467726440
서울특별시,2021-02-10,550745526
서울특별시,2021-02-11,610323869
서울특별시,2021-02-12,415789047
서울특별시,2021-02-13,437097278
서울특별시,2021-02-14,543628032
서울특별시,2021-02-15,525752778
서울특별시,2021-02-16,394832010
서울특별시,2021-02-17,375894761
서울특별시,2021-02-18,412007324
서울특별시,2021-02-19,410437960
서울특별시,2021-02-20,443541657
서울특별시,2021-02-21,564993916
서울특별시,2021-02-22,484598407
서울특별시,2021-02-23,387990462
서울특별시,2021-02-24,415795628
서울특별시,2021-02-25,402865903
서울특별시,2021-02-26,399123793
서울특별시,2021-02-27,385001856
서울특별시,2021-02-28,454828449
서울특별시,2021-03-01,386269957
서울특별시,2021-03-02,557207109
서울특별시,2021-03-03,422164050
서울특별시,2021-03-04,402406499
서울특별시,2021-03-05,387295230
서울특별시,2021-03-06,403859346
서울특별시,2021-03-07,538053623
서울특별시,2021-03-08,472236913
서울특별시,2021-03-09,407508651
서울특별시,2021-03-10,400220689
서울특별시,2021-03-11,394675399
서울특별시,2021-03-12,381472989
서울특별시,2021-03-13,416770627
서울특별시,2021-03-14,527194948
서울특별시,2021-03-15,469908775
서울특별시,2021-03-16,409044824
서울특별시,2021-03-17,401697899
서울특별시,2021-03-18,392490039
서울특별시,2021-03-19,398425683
서울특별시,2021-03-20,357244767
서울특별시,2021-03-21,529496549
서울특별시,2021-03-22,482471042
서울특별시,2021-03-23,412434229
서울특별시,2021-03-24,395630101
서울특별시,2021-03-25,393613735
서울특별시,2021-03-26,382421407
서울특별시,2021-03-27,341972626
서울특별시,2021-03-28,489243899
서울특별시,2021-03-29,481931893
서울특별시,2021-03-30,415814594
서울특별시,2021-03-31,396140904
서울특별시,2021-05-01,384494959
서울특별시,2021-05-02,547449873
서울특별시,2021-05-03,494937017
서울특별시,2021-05-04,352153326
서울특별시,2021-05-05,494823769
서울특별시,2021-05-06,464455959
서울특별시,2021-05-07,390750613
서울특별시,2021-05-08,453243464
서울특별시,2021-05-09,567550334
서울특별시,2021-05-10,478706075
서울특별시,2021-05-11,453169449
서울특별시,2021-05-12,440301626
서울특별시,2021-05-13,446770892
서울특별시,2021-05-14,444267659
서울특별시,2021-05-15,422588137
서울특별시,2021-05-16,509114568
서울특별시,2021-05-17,603141806
서울특별시,2021-05-18,470386536
서울특별시,2021-05-19,498387437
서울특별시,2021-05-20,461245235
서울특별시,2021-05-21,435455309
서울특별시,2021-05-22,491607809
서울특별시,2021-05-23,589078023
서울특별시,2021-05-24,521211250
서울특별시,2021-05-25,431732947
서울특별시,2021-05-26,453047935
서울특별시,2021-05-27,420799907
서울특별시,2021-05-28,421553987
서울특별시,2021-05-29,460817861
서울특별시,2021-05-30,562838486
서울특별시,2021-05-31,545210299
서울특별시,2021-06-01,474423348
